comune_istat_cod|comune_catasto_cod|comune_des|provincia_istat_cod|provincia_sigla|provincia_des|regione_istat_cod|regione_des|area_geo_cod|area_geo_des|stato_cod|stato_des
001001|A074|AGLIE'|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001002|A109|AIRASCA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001003|A117|ALA DI STURA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001004|A157|ALBIANO D'IVREA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001005|A199|ALICE SUPERIORE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001006|A218|ALMESE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001007|A221|ALPETTE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001008|A222|ALPIGNANO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001009|A275|ANDEZENO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001010|A282|ANDRATE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001011|A295|ANGROGNA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001012|A405|ARIGNANO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001013|A518|AVIGLIANA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001014|A525|AZEGLIO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001015|A584|BAIRO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001016|A587|BALANGERO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001017|A590|BALDISSERO CANAVESE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001018|A591|BALDISSERO TORINESE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001019|A599|BALME|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001020|A607|BANCHETTE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001021|A625|BARBANIA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001022|A651|BARDONECCHIA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001023|A673|BARONE CANAVESE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001024|A734|BEINASCO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001025|A853|BIBIANA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001026|A910|BOBBIO PELLICE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001027|A941|BOLLENGO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001028|A990|BORGARO TORINESE|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001029|B003|BORGIALLO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001030|B015|BORGOFRANCO D'IVREA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001031|B021|BORGOMASINO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001032|B024|BORGONE SUSA|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001033|B075|BOSCONERO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001034|B121|BRANDIZZO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001035|B171|BRICHERASIO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001036|B205|BROSSO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001037|B209|BROZOLO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001038|B216|BRUINO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
001039|B225|BRUSASCO|001|TO|TORINO|01|Piemonte|1|Nord-Ovest|100|ITALIA
